Ly Lx dh h 
3 8 0.0250 2.000 
3 8 0.0250 2.100 
3 8 0.0250 2.200 
3 8 0.0250 2.300 
3 8 0.0250 2.400 
3 8 0.0250 2.500 
3 8 0.0250 2.531 
3 8 0.0250 2.541 
3 8 0.0250 2.551 
3 8 0.0250 2.561 
3 8 0.0250 2.571 
3 8 0.0250 2.581 
3 8 0.0250 2.591 
3 8 0.0250 2.600 
3 8 0.0250 2.601 
3 8 0.0250 2.611 
3 8 0.0250 2.621 
3 8 0.0250 2.631 
3 8 0.0250 2.641 
3 8 0.0250 2.651 
3 8 0.0250 2.661 
3 8 0.0250 2.671 
3 8 0.0250 2.681 
3 8 0.0250 2.700 
3 8 0.0250 2.800 
3 8 0.0250 2.900 
3 8 0.0250 3.000 
3 8 0.0250 3.100 
3 8 0.0250 3.200 
3 8 0.0025 2.000 
3 8 0.0025 2.100 
3 8 0.0025 2.200 
3 8 0.0025 2.300 
3 8 0.0025 2.400 
3 8 0.0025 2.500 
3 8 0.0025 2.531 
3 8 0.0025 2.541 
3 8 0.0025 2.551 
3 8 0.0025 2.561 
3 8 0.0025 2.571 
3 8 0.0025 2.581 
3 8 0.0025 2.591 
3 8 0.0025 2.600 
3 8 0.0025 2.601 
3 8 0.0025 2.611 
3 8 0.0025 2.621 
3 8 0.0025 2.631 
3 8 0.0025 2.641 
3 8 0.0025 2.651 
3 8 0.0025 2.661 
3 8 0.0025 2.671 
3 8 0.0025 2.681 
3 8 0.0025 2.700 
3 8 0.0025 2.800 
3 8 0.0025 2.900 
3 8 0.0025 3.000 
3 8 0.0025 3.100 
3 8 0.0025 3.200 
3 16 0.0250 2.000 
3 16 0.0250 2.100 
3 16 0.0250 2.200 
3 16 0.0250 2.300 
3 16 0.0250 2.400 
3 16 0.0250 2.500 
3 16 0.0250 2.531 
3 16 0.0250 2.541 
3 16 0.0250 2.551 
3 16 0.0250 2.561 
3 16 0.0250 2.571 
3 16 0.0250 2.581 
3 16 0.0250 2.591 
3 16 0.0250 2.600 
3 16 0.0250 2.601 
3 16 0.0250 2.611 
3 16 0.0250 2.621 
3 16 0.0250 2.631 
3 16 0.0250 2.641 
3 16 0.0250 2.651 
3 16 0.0250 2.661 
3 16 0.0250 2.671 
3 16 0.0250 2.681 
3 16 0.0250 2.700 
3 16 0.0250 2.800 
3 16 0.0250 2.900 
3 16 0.0250 3.000 
3 16 0.0250 3.100 
3 16 0.0250 3.200 
3 16 0.0025 2.000 
3 16 0.0025 2.100 
3 16 0.0025 2.200 
3 16 0.0025 2.300 
3 16 0.0025 2.400 
3 16 0.0025 2.500 
3 16 0.0025 2.531 
3 16 0.0025 2.541 
3 16 0.0025 2.551 
3 16 0.0025 2.561 
3 16 0.0025 2.571 
3 16 0.0025 2.581 
3 16 0.0025 2.591 
3 16 0.0025 2.600 
3 16 0.0025 2.601 
3 16 0.0025 2.611 
3 16 0.0025 2.621 
3 16 0.0025 2.631 
3 16 0.0025 2.641 
3 16 0.0025 2.651 
3 16 0.0025 2.661 
3 16 0.0025 2.671 
