Ly Lx h lambda 
2 16 1.000 2.0 
2 16 1.050 2.0 
2 16 1.100 2.0 
2 16 1.150 2.0 
2 16 1.200 2.0 
2 16 1.250 2.0 
2 16 1.300 2.0 
2 16 1.350 2.0 
2 16 1.400 2.0 
2 16 1.450 2.0 
2 16 1.500 2.0 
2 16 1.550 2.0 
2 16 1.600 2.0 
2 16 1.650 2.0 
2 16 1.700 2.0 
2 16 1.750 2.0 
2 16 1.800 2.0 
2 16 1.850 2.0 
2 16 1.900 2.0 
2 16 1.950 2.0 
2 24 1.000 2.0 
2 24 1.050 2.0 
2 24 1.100 2.0 
2 24 1.150 2.0 
2 24 1.200 2.0 
2 24 1.250 2.0 
2 24 1.300 2.0 
2 24 1.350 2.0 
2 24 1.400 2.0 
2 24 1.450 2.0 
2 24 1.500 2.0 
2 24 1.550 2.0 
2 24 1.600 2.0 
2 24 1.650 2.0 
2 24 1.700 2.0 
2 24 1.750 2.0 
2 24 1.800 2.0 
2 24 1.850 2.0 
2 24 1.900 2.0 
2 24 1.950 2.0 
2 32 1.000 2.0 
2 32 1.050 2.0 
2 32 1.100 2.0 
2 32 1.150 2.0 
2 32 1.200 2.0 
2 32 1.250 2.0 
2 32 1.300 2.0 
2 32 1.350 2.0 
2 32 1.400 2.0 
2 32 1.450 2.0 
2 32 1.500 2.0 
2 32 1.550 2.0 
2 32 1.600 2.0 
2 32 1.650 2.0 
2 32 1.700 2.0 
2 32 1.750 2.0 
2 32 1.800 2.0 
2 32 1.850 2.0 
2 32 1.900 2.0 
2 32 1.950 2.0 
2 40 1.000 2.0 
2 40 1.050 2.0 
2 40 1.100 2.0 
2 40 1.150 2.0 
2 40 1.200 2.0 
2 40 1.250 2.0 
2 40 1.300 2.0 
2 40 1.350 2.0 
2 40 1.400 2.0 
2 40 1.450 2.0 
2 40 1.500 2.0 
2 40 1.550 2.0 
2 40 1.600 2.0 
2 40 1.650 2.0 
2 40 1.700 2.0 
2 40 1.750 2.0 
2 40 1.800 2.0 
2 40 1.850 2.0 
2 40 1.900 2.0 
2 40 1.950 2.0 
2 48 1.000 2.0 
2 48 1.050 2.0 
2 48 1.100 2.0 
2 48 1.150 2.0 
2 48 1.200 2.0 
2 48 1.250 2.0 
2 48 1.300 2.0 
2 48 1.350 2.0 
2 48 1.400 2.0 
2 48 1.450 2.0 
2 48 1.500 2.0 
2 48 1.550 2.0 
2 48 1.600 2.0 
2 48 1.650 2.0 
2 48 1.700 2.0 
2 48 1.750 2.0 
2 48 1.800 2.0 
2 48 1.850 2.0 
2 48 1.900 2.0 
2 48 1.950 2.0 
2 56 1.000 2.0 
2 56 1.050 2.0 
2 56 1.100 2.0 
2 56 1.150 2.0 
2 56 1.200 2.0 
2 56 1.250 2.0 
2 56 1.300 2.0 
2 56 1.350 2.0 
2 56 1.400 2.0 
2 56 1.450 2.0 
2 56 1.500 2.0 
2 56 1.550 2.0 
2 56 1.600 2.0 
2 56 1.650 2.0 
2 56 1.700 2.0 
2 56 1.750 2.0 
2 56 1.800 2.0 
2 56 1.850 2.0 
2 56 1.900 2.0 
2 56 1.950 2.0 
2 64 1.000 2.0 
2 64 1.050 2.0 
2 64 1.100 2.0 
2 64 1.150 2.0 
2 64 1.200 2.0 
2 64 1.250 2.0 
2 64 1.300 2.0 
2 64 1.350 2.0 
2 64 1.400 2.0 
2 64 1.450 2.0 
2 64 1.500 2.0 
2 64 1.550 2.0 
2 64 1.600 2.0 
2 64 1.650 2.0 
2 64 1.700 2.0 
2 64 1.750 2.0 
2 64 1.800 2.0 
2 64 1.850 2.0 
2 64 1.900 2.0 
2 64 1.950 2.0 
