method L v h quenchtau 
1 16 1.6 0.5 0.05 
1 16 1.6 0.5 0.10 
1 16 1.6 0.5 0.20 
1 16 1.6 0.5 0.40 
1 16 1.6 1.0 0.05 
1 16 1.6 1.0 0.10 
1 16 1.6 1.0 0.20 
1 16 1.6 1.0 0.40 
1 16 1.6 2.0 0.05 
1 16 1.6 2.0 0.10 
1 16 1.6 2.0 0.20 
1 16 1.6 2.0 0.40 
1 16 1.6 3.0 0.05 
1 16 1.6 3.0 0.10 
1 16 1.6 3.0 0.20 
1 16 1.6 3.0 0.40 
1 16 1.7 0.5 0.05 
1 16 1.7 0.5 0.10 
1 16 1.7 0.5 0.20 
1 16 1.7 0.5 0.40 
1 16 1.7 1.0 0.05 
1 16 1.7 1.0 0.10 
1 16 1.7 1.0 0.20 
1 16 1.7 1.0 0.40 
1 16 1.7 2.0 0.05 
1 16 1.7 2.0 0.10 
1 16 1.7 2.0 0.20 
1 16 1.7 2.0 0.40 
1 16 1.7 3.0 0.05 
1 16 1.7 3.0 0.10 
1 16 1.7 3.0 0.20 
1 16 1.7 3.0 0.40 
1 16 1.8 0.5 0.05 
1 16 1.8 0.5 0.10 
1 16 1.8 0.5 0.20 
1 16 1.8 0.5 0.40 
1 16 1.8 1.0 0.05 
1 16 1.8 1.0 0.10 
1 16 1.8 1.0 0.20 
1 16 1.8 1.0 0.40 
1 16 1.8 2.0 0.05 
1 16 1.8 2.0 0.10 
1 16 1.8 2.0 0.20 
1 16 1.8 2.0 0.40 
1 16 1.8 3.0 0.05 
1 16 1.8 3.0 0.10 
1 16 1.8 3.0 0.20 
1 16 1.8 3.0 0.40 
1 16 1.9 0.5 0.05 
1 16 1.9 0.5 0.10 
1 16 1.9 0.5 0.20 
1 16 1.9 0.5 0.40 
1 16 1.9 1.0 0.05 
1 16 1.9 1.0 0.10 
1 16 1.9 1.0 0.20 
1 16 1.9 1.0 0.40 
1 16 1.9 2.0 0.05 
1 16 1.9 2.0 0.10 
1 16 1.9 2.0 0.20 
1 16 1.9 2.0 0.40 
1 16 1.9 3.0 0.05 
1 16 1.9 3.0 0.10 
1 16 1.9 3.0 0.20 
1 16 1.9 3.0 0.40 
1 16 2.0 0.5 0.05 
1 16 2.0 0.5 0.10 
1 16 2.0 0.5 0.20 
1 16 2.0 0.5 0.40 
1 16 2.0 1.0 0.05 
1 16 2.0 1.0 0.10 
1 16 2.0 1.0 0.20 
1 16 2.0 1.0 0.40 
1 16 2.0 2.0 0.05 
1 16 2.0 2.0 0.10 
1 16 2.0 2.0 0.20 
1 16 2.0 2.0 0.40 
1 16 2.0 3.0 0.05 
1 16 2.0 3.0 0.10 
1 16 2.0 3.0 0.20 
1 16 2.0 3.0 0.40 
1 16 2.2 0.5 0.05 
1 16 2.2 0.5 0.10 
1 16 2.2 0.5 0.20 
1 16 2.2 0.5 0.40 
1 16 2.2 1.0 0.05 
1 16 2.2 1.0 0.10 
1 16 2.2 1.0 0.20 
1 16 2.2 1.0 0.40 
1 16 2.2 2.0 0.05 
1 16 2.2 2.0 0.10 
1 16 2.2 2.0 0.20 
1 16 2.2 2.0 0.40 
1 16 2.2 3.0 0.05 
1 16 2.2 3.0 0.10 
1 16 2.2 3.0 0.20 
1 16 2.2 3.0 0.40 
1 16 2.4 0.5 0.05 
1 16 2.4 0.5 0.10 
1 16 2.4 0.5 0.20 
1 16 2.4 0.5 0.40 
1 16 2.4 1.0 0.05 
1 16 2.4 1.0 0.10 
1 16 2.4 1.0 0.20 
1 16 2.4 1.0 0.40 
1 16 2.4 2.0 0.05 
1 16 2.4 2.0 0.10 
1 16 2.4 2.0 0.20 
1 16 2.4 2.0 0.40 
1 16 2.4 3.0 0.05 
1 16 2.4 3.0 0.10 
1 16 2.4 3.0 0.20 
1 16 2.4 3.0 0.40 
1 16 2.6 0.5 0.05 
1 16 2.6 0.5 0.10 
1 16 2.6 0.5 0.20 
1 16 2.6 0.5 0.40 
