h en0 SR0 var0 maxBondDim0 en1 SR1 var1 maxBondDim1 
3 -37.622 -0.87582 -2.72848e-12 128 -34.9517 0.564471 2.27374e-13 128 
3.01 -37.7356 -0.877925 3.41061e-12 80 -35.0441 0.560493 -9.09495e-13 80 
3.02 -37.8493 -0.879984 -3.63798e-12 80 -35.1366 0.556549 -2.27374e-13 160 
3.03 -37.963 -0.881998 2.04636e-12 80 -35.2291 0.552641 3.63798e-12 80 
3.04 -38.0768 -0.883967 -1.59162e-12 128 -35.3217 0.548767 1.59162e-12 128 
3.05 -38.1906 -0.885894 -1.59162e-12 80 -35.4143 0.544927 -2.27374e-13 128 
3.06 -38.3045 -0.887779 3.63798e-12 80 -35.507 0.541122 -3.86535e-12 128 
3.07 -38.4185 -0.889623 1.13687e-12 80 -35.5998 0.537351 -1.13687e-12 128 
3.08 -38.5324 -0.891428 0 80 -35.6926 0.533613 -3.18323e-12 80 
3.09 -38.6465 -0.893194 -2.95586e-12 80 -35.7854 0.52991 2.27374e-12 128 
3.1 -38.7606 -0.894923 -2.50111e-12 80 -35.8783 0.526239 -1.13687e-12 128 
