h en0 SR0 var0 maxBondDim0 en1 SR1 var1 maxBondDim1 
3 -399.223 0.459055 2.21537e-05 125 -398.663 0.323682 2.20186e-05 181 
3.01 -400.338 0.273736 2.20562e-05 123 -399.748 0.500945 2.17124e-05 180 
3.02 -401.456 0.0858538 2.19244e-05 121 -400.836 0.654437 2.18092e-05 181 
3.03 -402.576 -0.0974149 2.19822e-05 120 -401.926 0.780912 2.13535e-05 181 
3.04 -403.699 -0.270411 2.2092e-05 118 -403.019 0.878639 1.90133e-05 187 
3.05 -404.823 -0.428881 2.2243e-05 116 -404.114 0.947174 1.87034e-05 194 
3.06 -405.95 -0.569828 2.21303e-05 115 -405.211 0.987152 2.40348e-05 200 
3.07 -407.079 -0.691337 2.20768e-05 114 -406.31 1 2.13789e-05 178 
3.08 -408.209 -0.792401 2.20752e-05 112 -407.411 0.987795 2.25752e-05 177 
3.09 -409.342 -0.872754 2.2202e-05 111 -408.513 0.953024 2.25823e-05 177 
3.1 -410.476 -0.932721 2.21291e-05 110 -409.618 0.898442 2.17886e-05 177 
