hval maxBondDimGS maxBondDimExc energy gap 
3 8 20 -292.271 1.91118 
2.975 8 21 -287.552 1.85279 
2.95 8 25 -282.836 1.80047 
2.925 8 23 -278.123 1.79264 
2.9 9 25 -273.414 1.69293 
2.875 9 22 -268.71 1.64667 
2.85 9 24 -264.009 1.59291 
2.825 9 23 -259.313 1.53732 
2.8 9 24 -254.621 1.49062 
2.775 9 22 -249.935 1.4287 
2.75 9 21 -245.254 1.37634 
2.725 9 23 -240.58 1.3232 
2.7 9 23 -235.911 1.26944 
2.675 9 22 -231.25 1.21493 
2.65 9 24 -226.597 1.16998 
2.625 10 23 -221.952 1.12183 
2.6 10 26 -217.316 1.062 
2.575 10 24 -212.69 1.00467 
2.55 10 25 -208.076 0.941874 
2.525 11 25 -203.473 0.891536 
2.5 11 27 -198.885 0.837635 
2.475 12 25 -194.312 0.775145 
2.45 12 26 -189.756 0.721921 
2.425 12 28 -185.219 0.662974 
2.4 12 29 -180.705 0.606491 
2.375 12 28 -176.216 0.549131 
2.35 12 29 -171.757 0.488028 
2.325 12 29 -167.332 0.428335 
2.3 15 32 -162.948 0.36478 
2.275 16 36 -158.614 0.302734 
2.25 17 35 -154.341 0.237737 
2.225 19 35 -150.144 0.175654 
2.2 20 34 -146.046 0.11204 
2.175 28 37 -142.087 0.0490315 
2.15 26 30 -138.34 0.000553221 
2.125 17 19 -134.854 -2.0527e-06 
2.1 15 15 -131.57 -2.71893e-06 
2.075 14 14 -128.465 -3.81258e-06 
2.05 12 12 -125.526 -1.60995e-07 
2.025 12 26 -122.743 0.411469 
2 12 12 -120.111 4.44629e-10 
1.975 11 11 -117.625 -1.09139e-11 
1.95 10 19 -115.28 0.638241 
1.925 9 19 -113.075 0.711852 
1.9 9 9 -111.006 1.65556e-11 
1.875 9 18 -109.071 0.859321 
1.85 8 17 -107.268 0.931236 
1.825 8 8 -105.595 -1.19823e-07 
1.8 8 17 -104.052 1.07005 
1.775 7 23 -102.636 1.78322 
1.75 7 16 -101.347 1.99388 
1.725 7 7 -100.183 1.0482e-06 
1.7 7 15 -99.1438 1.31061 
1.675 5 5 -98.2287 4.45824e-05 
1.65 4 12 -97.4368 2.80133 
1.625 4 13 -96.7677 1.43597 
1.6 4 11 -96.2208 1.46215 
1.575 4 8 -95.7959 4.44352 
1.55 4 6 -95.4925 1.49221 
1.525 2 4 -95.3106 4.49436 
1.5 1 1 63.25 -145 
1.475 2 4 -95.3106 4.49434 
1.45 4 8 -95.4925 1.47242 
1.425 4 8 -95.7959 2.96231 
1.4 4 10 -96.2208 2.92361 
1.375 4 12 -96.7677 1.43551 
1.35 4 13 -97.4368 4.20096 
1.325 5 16 -98.2287 1.35968 
1.3 7 16 -99.1438 1.31065 
1.275 7 14 -100.183 1.25728 
1.25 7 16 -101.347 1.19884 
1.225 7 16 -102.636 1.13621 
1.2 8 17 -104.052 1.07017 
1.175 8 18 -105.595 1.00188 
1.15 8 17 -107.268 0.931037 
1.125 9 19 -109.071 0.859454 
1.1 9 9 -111.006 -2.70006e-12 
1.075 9 25 -113.075 0.715113 
1.05 10 20 -115.28 0.0119888 
1.025 11 20 -117.625 0.562663 
1 12 21 -120.111 0.487415 
0.975 12 27 -122.743 0.414336 
0.95 12 13 -125.526 -5.02665e-07 
0.925 14 28 -128.465 0.264597 
0.9 15 15 -131.57 -2.59062e-06 
0.875 17 17 -134.854 -4.50414e-07 
0.85 26 38 -138.34 0.0163791 
0.825 28 35 -142.087 0.0502478 
0.8 20 31 -146.046 0.115442 
0.775 19 35 -150.144 0.17457 
0.75 17 35 -154.341 0.237468 
0.725 16 32 -158.614 0.304181 
0.7 15 31 -162.948 0.361818 
0.675 12 35 -167.332 0.426925 
0.65 12 33 -171.757 0.483724 
0.625 12 29 -176.216 0.54795 
0.6 12 30 -180.705 0.603942 
0.575 12 28 -185.219 0.66494 
0.55 12 26 -189.756 0.718119 
0.525 12 27 -194.312 0.781225 
