hval maxBondDimGS maxBondDimExc var0 var1 overlap energy gap 
2.5 77 77 4.31738e-05 4.31318e-05 -5.02525e-15 -897.465 -4.6748e-10 
2.55 81 81 4.18621e-05 4.13412e-05 8.91407e-13 -908.585 -1.77596e-08 
2.6 86 85 4.41234e-05 4.45568e-05 1.4116e-10 -919.984 1.50363e-08 
2.65 90 90 4.7182e-05 4.70611e-05 2.03251e-08 -931.671 -2.65982e-09 
2.7 97 97 4.94991e-05 4.9618e-05 2.39239e-06 -943.658 -7.479e-09 
2.75 107 107 4.98444e-05 0.00150748 0.000195216 -955.96 9.00839e-07 
2.8 265 200 9.10164e-05 7.85396e-05 -2.59613e-05 -968.602 0.00156841 
2.85 220 232 5.21541e-05 5.29571e-05 -7.60045e-10 -981.639 0.0310454 
2.9 183 240 5.46004e-05 5.44066e-05 -8.17009e-11 -995.13 0.145616 
2.95 153 235 5.56158e-05 5.5497e-05 -1.07548e-11 -1008.97 0.303374 
3 131 226 6.10871e-05 5.67121e-05 -1.8367e-11 -1023.06 0.467321 
