hval gsEn excEn overlap var0 var1 
2 -21.1393 -19.006 1.36754e-07 3.46592e-07 1.25271e-06 
1.9 -20.201 -18.2632 -1.19288e-09 5.2793e-07 1.17267e-06 
1.8 -19.2699 -17.5267 1.71543e-06 8.21278e-07 1.43337e-06 
1.7 -18.3473 -16.7977 -3.39095e-12 1.31107e-06 1.60113e-06 
1.6 -17.435 -16.0776 3.14218e-07 7.0881e-07 1.85492e-06 
1.5 -16.5353 -15.368 1.79742e-07 1.18799e-06 2.08428e-06 
1.4 -15.6511 -14.6713 -2.76864e-08 8.30397e-07 2.28056e-06 
1.3 -14.7865 -13.9902 4.64925e-08 1.64555e-06 2.38337e-06 
1.2 -13.9473 -13.3283 -1.17838e-08 6.35917e-07 2.33137e-06 
1.1 -13.1417 -12.6905 -3.36461e-09 1.22757e-06 2.06957e-06 
1 -12.3815 -12.0826 2.89322e-09 1.03975e-07 1.59639e-06 
0.9 -11.6836 -11.512 1.20651e-08 1.97391e-07 1.00896e-06 
0.8 -11.0675 -10.9873 -3.64849e-07 2.31102e-07 4.85544e-07 
0.7 -10.5458 -10.5169 -6.43151e-06 2.64411e-06 1.97133e-07 
0.6 -10.1156 -10.108 -3.11641e-05 2.07094e-05 8.17235e-07 
0.5 -9.76541 -9.76412 -1.63525e-05 7.36892e-05 5.02581e-07 
0.4 -9.48588 -9.48588 -5.74002e-06 1.75559e-07 1.13123e-07 
0.3 -9.27182 -9.27182 1.22318e-05 7.19165e-08 1.27257e-07 
0.2 -9.12035 -9.12035 -1.28074e-07 1.00369e-07 1.00375e-07 
0.1 -9.03002 -9.03002 1.16604e-10 3.64551e-10 3.64835e-10 
0 -9 -7 -3.44467e-36 0 0 
