hval gsEn excEn overlap var0 var1 
2 -33.9019 -31.8418 -1.23337e-05 6.58047e-08 4.23307e-06 
1.9 -32.4052 -30.5427 -5.2356e-08 1.15976e-07 2.51704e-07 
1.8 -30.9207 -29.2552 1.44905e-07 5.14942e-08 1.11183e-07 
1.7 -29.4506 -27.9815 -4.49352e-07 3.0422e-08 6.55634e-08 
1.6 -27.998 -26.7243 -1.98287e-10 4.31737e-09 7.01266e-08 
1.5 -26.5668 -25.4871 -1.12396e-11 1.04923e-08 1.48839e-08 
1.4 -25.1622 -24.2744 -9.71798e-12 1.89199e-08 2.12603e-08 
1.3 -23.7915 -23.0925 -6.97353e-11 4.13818e-08 2.89248e-08 
1.2 -22.465 -21.9492 -9.25853e-12 4.6701e-08 3.61347e-08 
1.1 -21.1984 -20.8556 -2.71898e-11 2.48409e-08 3.92175e-08 
1 -20.0164 -19.8261 -4.61218e-11 1.10061e-08 2.38301e-08 
0.9 -18.9557 -18.8782 -3.22598e-10 2.61185e-08 1.29839e-08 
0.8 -18.0499 -18.0295 -3.23397e-07 3.53089e-08 9.81709e-09 
0.7 -17.2945 -17.2915 -3.93576e-05 0.000178205 1.70217e-06 
0.6 -16.6653 -16.6653 -8.93899e-06 4.2003e-06 9.48422e-08 
0.5 -16.146 -16.146 -5.77626e-07 1.79432e-08 1.62058e-08 
0.4 -15.7284 -15.7284 -1.34413e-06 6.41961e-09 7.5496e-09 
0.3 -15.4076 -15.4076 1.21957e-08 9.28111e-10 9.27145e-10 
0.2 -15.1805 -15.1805 5.37817e-12 6.06494e-09 6.06576e-09 
0.1 -15.045 -15.045 -4.52159e-17 3.79544e-10 3.78293e-10 
0 -15 -15 -5.99368e-247 0 0 
