hval energy mag mag2 mag4 var maxBondDim 
2.3 -191.806 -0.730863 0.539085 0.298905 5.30879e-06 29 
2.4 -196.571 -0.63765 0.412475 0.17749 8.79353e-05 46 
2.5 -201.627 0.256589 0.0674881 0.00488548 0.000597354 52 
2.6 -207.021 -3.49008e-05 1.28163e-09 1.88534e-18 4.68251e-06 46 
2.62 -208.143 -3.87207e-06 1.58382e-11 2.90197e-22 4.7472e-06 45 
2.64 -209.278 -1.69483e-06 3.05477e-12 1.09577e-23 4.76203e-06 44 
2.66 -210.426 -3.49869e-07 1.30875e-13 2.03491e-26 4.76072e-06 43 
2.68 -211.585 -1.17076e-08 1.4659e-16 2.55371e-32 4.72312e-06 41 
2.7 -212.756 2.6309e-10 7.54318e-20 6.98816e-39 4.72993e-06 40 
2.8 -218.751 3.85197e-11 1.44761e-19 6.66536e-38 5.11893e-06 37 
