hval energy mag mag2 mag4 var maxBondDim 
2.3 -127.396 0.603312 0.368642 0.141432 0.000213052 39 
2.4 -130.641 -0.212493 0.0460567 0.00225248 0.000500184 42 
2.5 -134.093 -0.0026334 7.16377e-06 5.64002e-11 3.6301e-06 49 
2.6 -137.766 2.1222e-06 4.76419e-12 2.64859e-23 2.96463e-06 38 
2.62 -138.526 -7.03356e-08 5.2372e-15 3.20254e-29 2.84473e-06 37 
2.64 -139.294 9.89541e-08 1.04285e-14 1.28809e-28 2.93196e-06 37 
2.66 -140.069 -1.01578e-08 1.10048e-16 1.43808e-32 2.84667e-06 36 
2.68 -140.85 1.45099e-09 2.25819e-18 6.17513e-36 2.78125e-06 36 
2.7 -141.639 -6.16008e-10 4.06743e-19 1.98758e-37 2.81142e-06 36 
2.8 -145.665 -1.12667e-11 1.51268e-20 7.64823e-40 3.19584e-06 35 
