hval energy mag mag2 mag4 var maxBondDim 
2.6 -553.363 -0.319982 0.105303 0.0119285 0.000415992 71 
2.62 -556.272 -0.110645 0.0127045 0.000177647 0.000400698 76 
2.64 -559.227 -0.00359134 1.35431e-05 2.07852e-10 1.93003e-05 77 
2.65 -560.721 -0.000562637 3.34622e-07 1.28939e-13 1.26385e-05 63 
2.66 -562.226 -0.000205078 4.47916e-08 2.34983e-15 1.23294e-05 60 
2.665 -562.983 -5.43252e-05 3.15936e-09 1.18235e-17 1.3406e-05 58 
2.67 -563.742 -3.54924e-06 1.34841e-11 2.15449e-22 1.36363e-05 57 
2.675 -564.504 -3.72631e-06 1.49001e-11 2.6443e-22 1.35156e-05 56 
2.68 -565.268 2.00394e-07 4.30803e-14 2.21078e-27 1.36863e-05 55 
2.685 -566.034 -4.29203e-08 1.97219e-15 4.59926e-30 1.37259e-05 54 
2.69 -566.803 7.13901e-08 5.42812e-15 3.43913e-29 1.37208e-05 54 
2.695 -567.574 -3.10724e-08 1.0224e-15 1.19918e-30 1.38631e-05 53 
2.7 -568.347 -8.77436e-10 2.07112e-18 1.03571e-35 1.41673e-05 53 
2.8 -584.186 -2.44121e-10 1.38581e-19 6.14254e-38 1.51654e-05 40 
2.9 -600.575 -5.84241e-13 2.21671e-24 2.1765e-47 1.42579e-05 34 
