t=0 enPsi MaxDimPsi enPhi MaxDimPhi SvN(x,t=0) 
0 -72.9418 12 -72.1852 12 0.0420685 0.0425794 0.0420685 
tval enPhi MaxDimPhi SvN(x,t) 
0.1 -72.1836 25 0.0426246 0.103071 0.102523 
0.2 -72.1845 28 0.0453704 0.101835 0.0997386 
0.3 -72.1843 32 0.0496763 0.0985429 0.096147 
0.4 -72.1844 35 0.0537881 0.105964 0.106204 
0.5 -72.1843 40 0.0535481 0.135127 0.134721 
0.6 -72.184 43 0.0727529 0.146458 0.143077 
0.7 -72.1848 43 0.0899201 0.111085 0.105248 
0.8 -72.1839 44 0.0666239 0.150807 0.155595 
0.9 -72.1845 46 0.108496 0.152693 0.144412 
1 -72.1841 48 0.122422 0.14231 0.137051 
1.1 -72.1846 48 0.0946534 0.148262 0.1413 
1.2 -72.1841 48 0.134829 0.158602 0.149553 
1.3 -72.1844 48 0.135317 0.156784 0.146905 
1.4 -72.1843 49 0.133848 0.163646 0.120681 
1.5 -72.1843 49 0.141055 0.15347 0.138917 
1.6 -72.1845 50 0.137258 0.156999 0.1249 
1.7 -72.1841 50 0.157101 0.179342 0.110175 
1.8 -72.1843 50 0.146082 0.150065 0.102099 
1.9 -72.1845 50 0.120711 0.14125 0.10159 
2 -72.1841 50 0.159077 0.175117 0.0847518 
